IP,端口,标题,克隆目标网站,扫描时间
58.17.217.24,80,重庆铃耀汽车有限公司 Mail System,http://mail.lingyaoauto.com,2021/4/3 5:30
129.211.41.239,80,中原证券 邮件系统,https://mail.ccnew.com/,2020/8/27 18:04
120.27.3.39,80,央视网_世界就在眼前,https://www.cctv.com/,2020/4/30 7:31
144.168.56.130,80,武汉大学口腔医院协同办公平台,http://61.183.122.74:7001/defaultroot/,2020/9/13 22:00
185.210.144.218,8080,手机QQ空间登录,http://52.192.231.246/,2020/10/9 22:42
118.24.154.134,80,免费在线算卦，周易算卦-财运-婚姻-姓名-起名丨82开运网,http://www.82ky.com,2021/5/5 12:47
192.144.172.241,443,教育电子政务平台,http://emic.moe.edu.cn/,2020/4/20 4:29
39.105.24.37,88,江苏科技大学VPN服务,https://vpn.just.edu.cn/dana-na/auth/url_default/,2020/6/11 12:03
175.24.66.111,8090,后台管理平台,https://www.webportal.top/,2021/4/2 14:37
8.210.125.201,8080,杭州师范大学VPN校园网远程接入,https://svpn.hznu.edu.cn/por/,2020/12/2 22:32
104.168.147.195,80,管理平台,http://61.163.88.227:8006,2020/2/12 5:01
119.23.75.192,8083,登录,http://passport2.chaoxing.com/,2021/5/16 19:02
139.196.184.73,80,登录,http://passport2.chaoxing.com/,2021/4/3 1:36
159.138.45.10,80,登录,http://dtool.huolala.cn,2020/6/16 22:42
119.29.186.89,8088,补天 - 企业和白帽子共赢的漏洞响应平台，帮助企业建立SRC,https://user.butian.net/user/sign-in?next=https://www.butian.net/,2020/2/23 7:52
121.196.152.165,80,渤海银行欢迎您,http://www.cbhb.com.cn/bhbank/S101,2021/5/31 11:13
45.137.10.148,80,百度一下，你就知道,https://www.baidu.com,2021/6/6 21:32
121.4.193.179,443,百度一下，你就知道,https://www.baidu.com,2021/5/31 11:12
193.112.124.26,12345,百度一下，你就知道,https://www.baidu.com/,2021/1/11 16:15
39.106.109.69,80,百度一下，你就知道,http://www.baidu.com/,2020/12/10 20:33
121.37.23.161,80,百度一下，你就知道,https://www.baidu.com,2020/11/3 13:35
47.102.110.39,8080,百度一下，你就知道,http://www.baidu.com/,2020/9/24 1:40
121.36.253.240,81,百度一下，你就知道,https://www.baidu.com,2020/6/8 22:16
149.28.198.17,8081,百度一下，你就知道,https://www.baidu.com/,2020/5/19 10:01
47.100.89.120,80,百度一下，你就知道,http://www.baidu.com/,2020/5/4 22:33
47.91.223.33,80,百度一下，你就知道,https://www.baidu.com,2020/3/23 9:08
185.150.190.153,80,Your browser is out of date,https://vk.com/,2020/11/3 19:33
149.129.60.36,80,QQ号码登录,http://www.gpsoo.net/,2020/3/23 11:04
124.156.151.60,80,Orange,http://blog.orange.tw/,2020/10/10 21:35
167.71.179.96,80,Login – SENAME Intranet,https://intranet.sename.cl/login/,2020/6/28 2:01
167.71.189.226,80,Login – SENAME Intranet,https://intranet.sename.cl/login/,2020/5/19 13:15
61.124.39.43,443,Google,http://www.google.com,2021/4/3 15:36
47.99.188.172,80,FRGGGGG,http://49.234.76.135/,2021/5/26 8:14
47.94.96.209,83,Flash Player官方下载-Flash中国官网,https://www.flash.cn,2020/4/22 4:36
209.141.37.21,80,Facebook - Log In or Sign Up,https://m.facebook.com/,2021/4/3 14:35
191.252.113.123,8080,Facebook – entre ou cadastre-se,https://pt-br.facebook.com,2020/10/2 3:45
191.252.113.123,81,Facebook – entre ou cadastre-se,https://pt-br.facebook.com,2020/9/17 13:49
36.110.239.129,80,"China UnionPay |
             中国银联",https://cn.unionpay.com,2020/5/4 22:29
39.104.162.182,80,"
        登录",http://oa.crecg.com/Services/Identification/Server/Login.aspx,2021/4/3 12:37
139.9.5.52,8084,,https://jwzx.bipt.edu.cn/academic/common/security/,2021/5/18 5:29
31.220.53.6,8080,,https://www.facebook.com,2018/7/23 20:14
